word,count
golden,21978
summer,21956
freckles,21934
rode,21934
weller,21912
thine,21912
fly,21912
org,21890
safe,21890
dreadful,21890
knees,21868
leaves,21868
settled,21824
teeth,21758
spread,21758
produced,21758
south,21758
loud,21714
alive,21692
liked,21670
kings,21648
oliver,21626
move,21604
houses,21582
companion,21582
pardon,21582
ther,21560
opposite,21560
blow,21516
welcome,21472
fond,21472
napoleon,21450
rising,21428
madam,21406
directly,21406
excellent,21406
matters,21362
serious,21340
path,21318
degree,21274
food,21252
handsome,21230
individual,21208
yellow,21120
pas,21120
affairs,21076
believed,21054
offer,21054
formed,21054
thirty,21032
draw,21010
chamber,20966
engaged,20966
remembered,20944
supposed,20944
touched,20922
difficulty,20922
hill,20922
lower,20878
charles,20856
tall,20856
questions,20834
spring,20768
prepared,20746
promised,20746
jude,20724
fault,20702
avait,20680
moscow,20680
takes,20658
post,20636
broad,20614
twelve,20614
burst,20548
equal,20526
courage,20526
march,20526
ain,20504
surprised,20504
reach,20504
influence,20504
isn,20482
discovered,20482
aside,20482
soldier,20482
permission,20416
nose,20416
finger,20394
support,20394
peter,20394
smith,20394
alas,20372
complete,20372
twice,20372
grand,20372
altogether,20350
section,20350
guard,20350
dropped,20328
quarter,20306
watched,20306
possession,20262
danglars,20218
opening,20218
priest,20196
rue,20196
calm,20174
despair,20174
richard,20152
thick,20130
higher,20130
gives,20108
nice,20108
determined,20086
century,20064
ulysses,20042
bosom,19976
empty,19976
windows,19932
island,19910
affection,19910
movement,19910
whispered,19910
fee,19888
seated,19866
charming,19822
mercy,19822
crown,19800
breakfast,19778
parties,19778
waited,19756
vous,19712
difficult,19712
expect,19690
hence,19668
lovely,19668
illustration,19646
truly,19646
curious,19624
moon,19602
terror,19602
experience,19580
generally,19558
liberty,19558
bell,19558
thrown,19558
somewhat,19536
attempt,19514
valentine,19514
greek,19492
bread,19492
considerable,19492
north,19492
due,19470
hurt,19448
main,19448
pour,19426
clearly,19426
sharp,19382
empire,19382
everybody,19360
grown,19360
begun,19338
anxious,19338
hearts,19338
weston,19316
lot,19316
existence,19272
haste,19250
hem,19250
tomorrow,19250
shot,19206
harm,19206
sought,19184
kitty,19162
shalt,19162
excuse,19140
thin,19140
forced,19140
roman,19096
tired,19074
beg,19052
blind,19052
afternoon,19030
tender,19030
nine,19008
europe,19008
shore,19008
loss,19008
fifty,18986
bank,18986
vronsky,18964
miles,18964
offered,18942
caused,18920
orders,18920
slave,18920
using,18920
streets,18898
lines,18898
quietly,18898
micawber,18876
weak,18854
rate,18854
satisfaction,18832
hate,18832
finally,18788
prison,18788
removed,18788
throw,18788
drove,18766
conscience,18744
advantage,18744
names,18700
darcy,18678
peculiar,18656
request,18656
horror,18634
moving,18612
space,18612
extraordinary,18590
finding,18590
papers,18568
maid,18568
completely,18502
today,18480
date,18458
mentioned,18458
trade,18436
presented,18436
shouted,18436
forgive,18414
associated,18414
ordered,18414
carefully,18392
smoke,18348
cap,18326
moments,18304
happen,18304
prevent,18282
taste,18282
aware,18282
freely,18260
brave,18260
surely,18238
supper,18238
favour,18216
thanks,18216
divine,18194
grow,18172
winter,18150
jove,18150
sides,18106
albert,18106
special,18106
elle,18106
voices,18084
growing,18084
occurred,18084
behold,18084
agreed,18062
dying,18062
wounded,18040
goods,18018
wore,18018
unknown,17996
host,17996
stairs,17996
month,17974
dost,17974
york,17952
fashion,17930
resolved,17930
police,17908
acquaintance,17908
glory,17908
advice,17886
pointed,17886
unhappy,17864
situation,17864
prisoner,17864
rule,17864
pair,17820
measure,17820
kissed,17820
forty,17798
wit,17798
frightened,17798
train,17776
search,17776
